CustomerId,total_amount,avg_amount,std_amount,transaction_count,fraud_count,ProductCategory,ChannelId,CurrencyCode,is_high_risk
CustomerId_1,-10000.0,-10000.0,0.0,1,0,airtime,ChannelId_2,UGX,1
CustomerId_10,-10000.0,-10000.0,0.0,1,0,airtime,ChannelId_2,UGX,1
CustomerId_1001,20000.0,4000.0,6558.963332722634,5,0,airtime,ChannelId_3,UGX,1
CustomerId_1002,4225.0,384.09090909090907,560.4989660196449,11,0,financial_services,ChannelId_2,UGX,0
CustomerId_1003,20000.0,3333.333333333333,6030.478145774734,6,0,airtime,ChannelId_3,UGX,0
CustomerId_1004,2000.0,2000.0,0.0,1,0,airtime,ChannelId_3,UGX,1
CustomerId_1005,48800.0,5422.222222222223,5983.6815126178335,9,0,financial_services,ChannelId_2,UGX,1
CustomerId_1006,1000.0,1000.0,0.0,1,0,financial_services,ChannelId_3,UGX,1
CustomerId_1007,28000.0,28000.0,0.0,1,0,financial_services,ChannelId_3,UGX,1
CustomerId_1008,20000.0,10000.0,0.0,2,0,financial_services,ChannelId_3,UGX,1
CustomerId_1009,500.0,500.0,0.0,1,0,airtime,ChannelId_3,UGX,0
CustomerId_1010,26335.0,3762.142857142857,4971.798816946486,7,0,financial_services,ChannelId_2,UGX,1
CustomerId_1012,124906.0,1687.918918918919,3441.4863138083697,74,0,financial_services,ChannelId_2,UGX,0
CustomerId_1014,763880.0,95485.0,119332.84340149492,8,0,financial_services,ChannelId_3,UGX,1
CustomerId_1016,20000.0,4000.0,6745.368781616021,5,0,airtime,ChannelId_3,UGX,0
CustomerId_1020,292195.0,1439.384236453202,2500.4482251946347,203,0,airtime,ChannelId_3,UGX,0
CustomerId_1021,5000.0,5000.0,0.0,1,0,financial_services,ChannelId_3,UGX,1
CustomerId_1022,7000.0,7000.0,0.0,1,0,airtime,ChannelId_3,UGX,0
CustomerId_1025,17200.0,1075.0,1803.6536992079896,16,0,financial_services,ChannelId_2,UGX,0
CustomerId_1027,26770.0,1912.142857142857,3484.2705418482087,14,0,financial_services,ChannelId_2,UGX,0
CustomerId_1028,500.0,500.0,0.0,1,0,financial_services,ChannelId_3,UGX,0
CustomerId_1029,51000.0,5666.666666666667,8692.669325356856,9,0,airtime,ChannelId_3,UGX,0
CustomerId_1030,2350.0,293.75,713.8614811612364,8,0,airtime,ChannelId_3,UGX,0
CustomerId_1031,106838.8,2136.776,4615.395748241059,50,0,airtime,ChannelId_3,UGX,0
CustomerId_1032,2000.0,1000.0,0.0,2,0,financial_services,ChannelId_3,UGX,0
CustomerId_1033,950.0,475.0,742.4621202458749,2,0,financial_services,ChannelId_2,UGX,1
CustomerId_1034,40508.0,2531.75,7896.613345816885,16,0,airtime,ChannelId_3,UGX,0
CustomerId_1036,-50.0,-16.666666666666668,1000.4165798972612,3,0,financial_services,ChannelId_2,UGX,1
CustomerId_1038,19000.0,3800.0,6685.805860178712,5,0,airtime,ChannelId_3,UGX,0
CustomerId_1039,248895.0,8296.5,10395.94028438754,30,0,airtime,ChannelId_3,UGX,0
CustomerId_1040,50000.0,50000.0,0.0,1,0,financial_services,ChannelId_3,UGX,1
CustomerId_1043,14000.0,2333.333333333333,6976.14984548545,6,0,airtime,ChannelId_3,UGX,1
CustomerId_1044,21848.5,1365.53125,2064.1874064527988,16,0,financial_services,ChannelId_2,UGX,1
CustomerId_1048,1000.0,1000.0,0.0,1,0,financial_services,ChannelId_3,UGX,1
CustomerId_1050,5000.0,5000.0,0.0,1,0,financial_services,ChannelId_3,UGX,1
CustomerId_1052,56900.0,8128.571428571428,18504.47822246589,7,0,financial_services,ChannelId_2,UGX,0
CustomerId_1053,13788.0,1969.7142857142856,1911.4446294435447,7,0,financial_services,ChannelId_2,UGX,1
CustomerId_1054,159000.0,3057.692307692308,6112.964723224784,52,0,airtime,ChannelId_3,UGX,0
CustomerId_1055,5850.0,1170.0,1338.6560424545207,5,0,financial_services,ChannelId_2,UGX,1
CustomerId_1056,5500.0,1375.0,1108.6778913041726,4,0,airtime,ChannelId_3,UGX,1
CustomerId_1057,4504.0,2252.0,3886.258869401265,2,0,financial_services,ChannelId_2,UGX,1
CustomerId_1058,13815.0,476.3793103448276,597.271917841752,29,0,financial_services,ChannelId_2,UGX,0
CustomerId_1059,40000.0,4444.444444444444,6463.573143221772,9,0,airtime,ChannelId_3,UGX,0
CustomerId_1063,13325.0,1110.4166666666667,1608.6590383033788,12,0,airtime,ChannelId_3,UGX,0
CustomerId_1064,191650.0,4563.095238095239,6424.71627468643,42,0,airtime,ChannelId_3,UGX,0
CustomerId_1068,500.0,500.0,0.0,1,0,airtime,ChannelId_3,UGX,1
CustomerId_1070,5000.0,5000.0,0.0,1,0,financial_services,ChannelId_3,UGX,0
CustomerId_1071,236290.0,33755.71428571428,57242.85162275515,7,0,financial_services,ChannelId_2,UGX,0
CustomerId_1073,1000.0,1000.0,0.0,1,0,airtime,ChannelId_3,UGX,1
CustomerId_1074,167500.0,3641.304347826087,5656.405458001928,46,0,airtime,ChannelId_3,UGX,0
CustomerId_1078,19000.0,3166.6666666666665,7626.707459098367,6,0,airtime,ChannelId_3,UGX,1
CustomerId_1079,20000.0,20000.0,0.0,1,0,airtime,ChannelId_3,UGX,1
CustomerId_1080,5000.0,5000.0,0.0,1,0,financial_services,ChannelId_3,UGX,0
CustomerId_1081,1500.0,750.0,353.5533905932738,2,0,airtime,ChannelId_3,UGX,0
CustomerId_1082,19000.0,3800.0,6685.805860178712,5,0,airtime,ChannelId_3,UGX,1
CustomerId_1083,500.0,500.0,0.0,1,0,airtime,ChannelId_3,UGX,0
CustomerId_1084,10000.0,10000.0,0.0,1,0,financial_services,ChannelId_3,UGX,1
CustomerId_1085,2900.0,725.0,1517.3990905493515,4,0,financial_services,ChannelId_2,UGX,1
CustomerId_1086,77576.0,2424.25,4114.986567610265,32,0,airtime,ChannelId_3,UGX,0
CustomerId_1087,40000.0,4444.444444444444,6463.573143221772,9,0,airtime,ChannelId_3,UGX,0
CustomerId_1089,169651.5,1116.1282894736842,1695.0127365720368,152,0,airtime,ChannelId_3,UGX,0
CustomerId_1091,3000.0,1500.0,707.1067811865476,2,0,financial_services,ChannelId_3,UGX,0
CustomerId_1092,65000.0,4062.5,5801.9393309478855,16,0,airtime,ChannelId_3,UGX,0
CustomerId_1093,42620.0,774.9090909090909,1912.920128366163,55,0,financial_services,ChannelId_3,UGX,0
CustomerId_1094,32460.0,4637.142857142857,9189.939633979677,7,0,airtime,ChannelId_3,UGX,0
CustomerId_1095,4875.0,443.1818181818182,764.5334287239268,11,0,financial_services,ChannelId_2,UGX,0
CustomerId_1096,1949226.0,2486.2576530612246,17819.372756509856,784,0,airtime,ChannelId_5,UGX,0
CustomerId_1098,20000.0,20000.0,0.0,1,0,financial_services,ChannelId_3,UGX,0
CustomerId_1099,6180.0,686.6666666666666,843.8601779915912,9,0,financial_services,ChannelId_3,UGX,0
CustomerId_11,-10000.0,-10000.0,0.0,1,0,airtime,ChannelId_2,UGX,1
CustomerId_1101,60000.0,6666.666666666667,5873.670062235366,9,0,financial_services,ChannelId_3,UGX,1
CustomerId_1102,60000.0,4285.714285714285,6169.759644097497,14,0,airtime,ChannelId_3,UGX,0
CustomerId_1103,30000.0,30000.0,0.0,1,0,financial_services,ChannelId_3,UGX,1
CustomerId_1104,40000.0,4000.0,9321.420969406376,10,0,airtime,ChannelId_3,UGX,0
CustomerId_1105,500.0,500.0,0.0,1,0,airtime,ChannelId_3,UGX,0
CustomerId_1106,10000.0,10000.0,0.0,1,0,financial_services,ChannelId_3,UGX,1
CustomerId_1108,50000.0,3571.428571428572,8741.715073003834,14,0,airtime,ChannelId_3,UGX,0
CustomerId_1109,39800.0,4975.0,6193.718015630262,8,0,financial_services,ChannelId_2,UGX,1
CustomerId_1111,-20.0,-6.666666666666667,1000.0666644445926,3,0,financial_services,ChannelId_2,UGX,1
CustomerId_1112,20000.0,3333.333333333333,6088.2400303098,6,0,airtime,ChannelId_3,UGX,0
CustomerId_1113,29700.0,1291.304347826087,3184.930860313962,23,0,airtime,ChannelId_3,UGX,1
CustomerId_1114,52925.0,928.5087719298244,963.8325492311376,57,0,financial_services,ChannelId_2,UGX,0
CustomerId_1116,5960.0,745.0,1039.2717230280607,8,0,airtime,ChannelId_3,UGX,0
CustomerId_1117,4000.0,4000.0,0.0,1,0,financial_services,ChannelId_3,UGX,1
CustomerId_1118,70000.0,2916.6666666666665,6412.736421045005,24,0,airtime,ChannelId_3,UGX,0
CustomerId_1119,5450.0,778.5714285714286,410.1393491415884,7,0,airtime,ChannelId_3,UGX,0
CustomerId_1120,1960.0,980.0,1442.497833620557,2,0,financial_services,ChannelId_2,UGX,1
CustomerId_1121,12097.02,1728.1457142857143,2428.372158867315,7,0,financial_services,ChannelId_2,UGX,0
CustomerId_1122,1850000.0,1850000.0,0.0,1,1,financial_services,ChannelId_3,UGX,1
CustomerId_1123,1000.0,1000.0,0.0,1,0,airtime,ChannelId_3,UGX,1
CustomerId_1124,19000.0,3166.6666666666665,7626.707459098367,6,0,airtime,ChannelId_3,UGX,0
CustomerId_1125,5000.0,5000.0,0.0,1,0,financial_services,ChannelId_3,UGX,0
CustomerId_1127,92135.0,2490.135135135135,2946.553053637062,37,0,financial_services,ChannelId_2,UGX,0
CustomerId_1129,1000.0,500.0,0.0,2,0,financial_services,ChannelId_3,UGX,1
CustomerId_1130,3960.0,990.0,1833.1393836803568,4,0,financial_services,ChannelId_2,UGX,1
CustomerId_1131,16550.0,1504.5454545454545,2194.93217952794,11,0,financial_services,ChannelId_2,UGX,0
CustomerId_1134,3380.0,375.55555555555554,430.8091547051639,9,0,financial_services,ChannelId_2,UGX,0
CustomerId_1135,71000.0,5071.428571428572,10547.561043011032,14,0,financial_services,ChannelId_2,UGX,0
CustomerId_1137,80000.0,4000.0,8911.199340392432,20,0,airtime,ChannelId_3,UGX,1
CustomerId_1140,3750.0,1250.0,3269.174207655505,3,0,financial_services,ChannelId_2,UGX,1
CustomerId_1141,145465.0,2968.673469387755,5077.606347925152,49,0,financial_services,ChannelId_2,UGX,0
CustomerId_1145,9500.0,2375.0,1887.4586088176875,4,0,financial_services,ChannelId_3,UGX,1
CustomerId_1146,19000.0,3166.6666666666665,7626.707459098367,6,0,airtime,ChannelId_3,UGX,1
CustomerId_1147,80000.0,4444.444444444444,5843.268849682788,18,0,airtime,ChannelId_3,UGX,0
CustomerId_1150,2000.0,1000.0,0.0,2,0,airtime,ChannelId_3,UGX,1
CustomerId_1153,3000.0,3000.0,0.0,1,0,financial_services,ChannelId_3,UGX,1
CustomerId_1154,5475.0,608.3333333333334,846.869234297716,9,0,financial_services,ChannelId_3,UGX,0
CustomerId_1156,1488224.0,4044.086956521739,8121.07295048366,368,0,financial_services,ChannelId_2,UGX,0
CustomerId_1158,30000.0,3750.0,7094.061903149301,8,0,airtime,ChannelId_3,UGX,1
CustomerId_1159,20000.0,4000.0,6745.368781616021,5,0,airtime,ChannelId_3,UGX,0
CustomerId_1160,48890.0,3259.333333333333,6929.972651632974,15,0,airtime,ChannelId_3,UGX,0
CustomerId_1161,2500.0,2500.0,0.0,1,0,financial_services,ChannelId_3,UGX,0
CustomerId_1162,4465.0,637.8571428571429,1176.4277040503353,7,0,financial_services,ChannelId_2,UGX,0
CustomerId_1163,50000.0,3571.428571428572,7303.4689936125105,14,0,airtime,ChannelId_3,UGX,0
CustomerId_1164,19000.0,3166.6666666666665,7626.707459098367,6,0,airtime,ChannelId_3,UGX,1
CustomerId_1165,54000.0,10800.0,14515.508947329405,5,0,financial_services,ChannelId_2,UGX,0
CustomerId_1169,-50.0,-16.666666666666668,1000.4165798972612,3,0,financial_services,ChannelId_2,UGX,0
CustomerId_1170,107074.0,5948.555555555556,14101.364348768951,18,0,financial_services,ChannelId_2,UGX,0
CustomerId_1171,3925.0,654.1666666666666,1373.9010760119036,6,0,data_bundles,ChannelId_5,UGX,1
CustomerId_1172,235759.7,2806.663095238096,4417.996239581807,84,0,financial_services,ChannelId_2,UGX,0
CustomerId_1174,1000.0,1000.0,0.0,1,0,airtime,ChannelId_3,UGX,1
CustomerId_1175,8942702.5,37106.64937759336,359409.4007452866,241,2,financial_services,ChannelId_2,UGX,0
CustomerId_1177,28878.0,7219.5,12439.0,4,0,financial_services,ChannelId_3,UGX,0
CustomerId_1179,900.0,300.0,1539.4804318340653,3,0,financial_services,ChannelId_2,UGX,0
CustomerId_1180,143406.0,2140.3880597014927,3254.10124889148,67,0,financial_services,ChannelId_2,UGX,0
CustomerId_1182,10000.0,2500.0,6757.711644237764,4,0,airtime,ChannelId_3,UGX,0
CustomerId_1183,45075.0,2504.1666666666665,5054.265016096918,18,0,financial_services,ChannelId_2,UGX,0
CustomerId_1184,1000.0,1000.0,0.0,1,0,financial_services,ChannelId_3,UGX,1
CustomerId_1186,5900.0,1475.0,2665.0515942472857,4,0,financial_services,ChannelId_2,UGX,1
CustomerId_1187,39000.0,5571.428571428572,9431.456989902512,7,0,airtime,ChannelId_3,UGX,1
CustomerId_1189,3000.0,1500.0,707.1067811865476,2,0,financial_services,ChannelId_3,UGX,1
CustomerId_1190,80000.0,5333.333333333333,6183.695920571712,15,0,airtime,ChannelId_3,UGX,0
CustomerId_1191,20500.0,3416.6666666666665,6200.134407145273,6,0,airtime,ChannelId_3,UGX,0
CustomerId_1192,41565.0,1889.3181818181815,3086.743659222275,22,0,financial_services,ChannelId_2,UGX,0
CustomerId_1193,9000.0,2250.0,6601.767440112787,4,0,airtime,ChannelId_3,UGX,1
CustomerId_1194,9000.0,2250.0,6601.767440112787,4,0,airtime,ChannelId_3,UGX,1
CustomerId_1195,19000.0,3166.6666666666665,6047.037842337905,6,0,airtime,ChannelId_3,UGX,1
